"商品コード","出荷実績確定日","出荷数","受注番号","出荷区分","出荷ID","届け先名"
"RLC-BL","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"RLC-DG","2024/10/24","2","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"SHC-BL","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"SHC-GR","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"SPC-CB","2024/10/24","2","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"SPC-DG","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"SPC-LG","2024/10/24","2","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"SPC-OG","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"ZPDC-PB","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"BBC-DPGR","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"CPC-BR","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"DPC-BL","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"DPC-RN","2024/10/24","5","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"DPC-YL","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"DS-BBC-MK","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"LGC-BG","2024/10/24","2","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"LGC-BL","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
"LGC-FN","2024/10/24","1","9000013828(1)","工場","59940(559)","ダイリュウ大和高田株式会社様 (アウター)"
